Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
1.04855,1.04855,1.04855,1.04855,2,1.04855,1,55,-0.00039,-0.000165,0.000117,BUY,NO
1.04855,1.04855,1.04855,1.04855,0,1.04855,0,0,-0.00024,-8.40E-05,0.0001305,BUY,NO
1.04855,1.04855,1.04855,1.04855,0,1.04855,0,5,-0.00015,-0.000114,0.0001305,BUY,NO
1.04835,1.04835,1.0483,1.0483,2,1.048325,2,10,-0.000165,-0.000327,-0.000315,NO,NO
1.0483,1.0483,1.0483,1.0483,0,1.0483,0,15,-0.0003375,-0.000432,-0.0006525,SELL,NO
1.0483,1.0483,1.0483,1.0483,0,1.0483,0,20,-0.000342,-0.000513,-0.0004725,NO,NO
1.0484,1.0484,1.0484,1.0484,1,1.0484,1,25,-0.000297,-0.000393,-6.75E-05,NO,NO
1.04875,1.0496,1.04875,1.04915,26,1.049305,17,30,-1.35E-05,9.00E-05,0.0008775,BUY,NO
1.04945,1.0502,1.04945,1.04985,18,1.05002,15,35,0.001062,0.002121,0.0028845,BUY,NO
1.0499,1.0499,1.0496,1.0496,2,1.04975,2,40,0.0017355,0.003669,0.0034335,NO,NO
1.0496,1.0496,1.0494,1.0494,2,1.0495,2,45,0.0013935,0.003135,0.0011025,NO,NO
1.0494,1.0494,1.0494,1.0494,0,1.0494,0,50,0.001095,0.002685,-0.0006975,NO,NO
1.04935,1.0494,1.04935,1.0494,3,1.049385,2,55,0.0010575,0.001917,-0.001053,NO,NO
1.0497,1.05015,1.04965,1.05015,17,1.049845,9,0,0.0013335,0.001287,0.0001215,SELL,NO
1.0501,1.0501,1.0497,1.04985,4,1.049865,4,5,0.0019245,0.001449,0.001584,NO,NO
1.0499,1.0502,1.04985,1.0502,34,1.050045,18,10,0.0018615,0.000573,0.0009315,NO,NO
1.05,1.05005,1.0498,1.05005,13,1.049995,8,15,0.0017355,0.000852,0.000855,NO,NO
1.04995,1.05005,1.0499,1.05005,5,1.04996,5,20,0.0011595,0.001113,0.000126,SELL,NO
1.0501,1.0501,1.0501,1.0501,1,1.0501,1,25,0.0007935,0.001194,0.0002295,NO,NO
1.04975,1.04995,1.04975,1.04995,4,1.04985,3,30,0.0003375,0.000723,-0.00036,NO,NO
1.04995,1.04995,1.04995,1.04995,1,1.04995,1,35,0.000279,0.000276,-0.0002745,SELL,NO
1.0498,1.0498,1.04925,1.04925,18,1.049395,13,40,0.0004395,-0.00015,-0.000324,SELL,EXECUTE
1.049,1.0493,1.04885,1.0493,12,1.049125,6,45,-0.000402,-0.001845,-0.0022545,SELL,NO
1.0489,1.0489,1.04885,1.0489,8,1.04888,4,50,-0.0007335,-0.00243,-0.002043,NO,NO
1.04895,1.04925,1.0489,1.04925,15,1.048995,9,55,-0.001044,-0.002547,-0.001521,NO,NO
1.0491,1.04965,1.04865,1.04865,36,1.049105,21,0,-0.001068,-0.002202,-0.0001845,NO,NO
1.04875,1.04965,1.04875,1.04965,8,1.049085,8,5,-0.0012465,-0.002151,-0.0003555,NO,NO
1.049,1.04905,1.0483,1.04905,32,1.048785,26,10,-0.001179,-0.00129,9.45E-05,NO,NO
1.0489,1.0489,1.0486,1.0486,3,1.0488,2,15,-0.0013605,-0.001188,-0.00054,BUY,NO
1.0485,1.0485,1.04825,1.04835,6,1.04836,4,20,-0.001578,-0.001077,-0.0010575,BUY,NO
1.048,1.04835,1.048,1.04835,7,1.04822,5,25,-0.0019725,-0.002031,-0.002079,SELL,NO
1.04835,1.049,1.04835,1.0487,8,1.04888,4,30,-0.001554,-0.001755,-0.0009225,NO,NO
1.0481,1.0484,1.04805,1.0484,7,1.04812,7,35,-0.001017,-0.001206,-0.00027,NO,NO
1.04865,1.04875,1.0481,1.0481,23,1.0484,19,40,-0.0008565,-0.001341,-3.60E-05,NO,NO
1.0482,1.0482,1.0479,1.0482,25,1.04807,10,45,-0.0008715,-0.001098,-0.000378,NO,NO
1.04815,1.04815,1.0479,1.0479,3,1.048,3,50,-0.0010875,-0.001035,-0.000927,BUY,NO
1.04775,1.048,1.04755,1.048,11,1.04779,8,55,-0.001341,-0.001656,-0.000981,NO,NO
1.04805,1.0491,1.04805,1.0488,64,1.048675,46,0,-0.0012285,-0.00114,-0.000522,BUY,EXECUTE
