Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
1.0044,1.0044,1.004,1.004,74,1.004135,25,25,-0.0003315,0.000279,-9.00E-06,NO,NO
1.0041,1.00425,1.004,1.0042,105,1.0041,20,30,-0.000492,-0.000474,-0.000675,NO,NO
1.00425,1.0043,1.00415,1.00415,32,1.004275,4,35,-0.0003045,-0.000375,-0.0002385,NO,NO
1.0042,1.00435,1.0042,1.00425,11,1.004255,7,40,-9.00E-05,-0.000321,6.30E-05,NO,NO
1.00425,1.0043,1.00395,1.00395,40,1.004175,15,45,-1.95E-05,-0.000324,0.0002205,NO,NO
1.004,1.004,1.00385,1.00385,38,1.003945,14,50,-0.000273,-0.000522,-0.0004095,NO,NO
1.00385,1.0039,1.0035,1.0037,397,1.003695,73,55,-0.0005205,-0.000825,-0.000954,SELL,NO
1.00365,1.0038,1.00305,1.00315,155,1.00344,36,0,-0.0008385,-0.001314,-0.001242,NO,NO
1.0031,1.0033,1.0026,1.0033,300,1.00291,38,5,-0.001341,-0.002211,-0.0019575,NO,NO
1.0031,1.0035,1.00305,1.00305,198,1.0033,25,10,-0.00156,-0.002871,-0.001773,NO,NO
1.0035,1.0043,1.0035,1.0043,25,1.00417,15,15,-0.0010095,-0.00183,0.0002295,NO,NO
1.00435,1.00475,1.00435,1.00435,98,1.00459,53,20,4.80E-05,0.000582,0.002898,BUY,NO
1.00435,1.00445,1.00435,1.00445,9,1.004395,7,25,0.0003345,0.001575,0.002619,BUY,NO
1.00425,1.00425,1.004,1.0041,15,1.0041,10,30,0.0001455,0.00198,0.0007515,NO,NO
1.00405,1.00405,1.0037,1.00405,37,1.00381,13,35,-0.000105,0.001773,-0.0008595,NO,NO
1.00405,1.00405,1.00405,1.00405,0,1.00405,0,40,-0.000105,0.00114,-0.0010575,NO,NO
1.0039,1.0039,1.0039,1.0039,8,1.0039,2,45,0.0001935,0.000558,-0.0004095,NO,NO
1.00395,1.004,1.00395,1.00395,4,1.003965,4,50,0.000513,-0.000453,-0.000144,NO,NO
1.004,1.00405,1.004,1.00405,13,1.00404,6,55,0.0007755,-0.000795,0.0001845,NO,NO
1.0038,1.0039,1.0037,1.0039,12,1.00379,8,0,0.000558,-0.000729,-0.0002475,NO,NO
1.00375,1.00375,1.00345,1.0035,21,1.003545,14,5,3.30E-05,-0.000765,-0.0005535,NO,NO
1.0036,1.0036,1.0036,1.0036,1,1.0036,1,10,-0.0006495,-0.000942,-0.000945,SELL,NO
1.00365,1.00375,1.0036,1.00375,5,1.00368,4,15,-0.0008265,-0.000735,-0.0004275,BUY,NO
1.004,1.004,1.004,1.004,11,1.004,4,20,-0.0004605,-0.000357,0.0006705,BUY,NO
1.00395,1.00395,1.00395,1.00395,1,1.00395,1,25,-0.0001365,0.000123,0.0009675,BUY,NO
1.00395,1.00435,1.00395,1.00435,9,1.004085,7,30,-1.80E-05,0.000276,0.000513,BUY,NO
1.00425,1.0045,1.00425,1.0045,10,1.00443,7,35,0.0002835,0.001017,0.0008595,NO,NO
1.0045,1.0048,1.0045,1.00475,25,1.0047,15,40,0.0005715,0.001947,0.0012555,NO,NO
1.00485,1.0049,1.00485,1.0049,10,1.00488,2,45,0.0010215,0.002565,0.0017415,NO,NO
1.0048,1.00485,1.0047,1.00475,20,1.004825,12,50,0.001206,0.002478,0.0011385,NO,NO
1.0048,1.00505,1.0048,1.0048,19,1.00494,9,55,0.0012825,0.002121,0.0003735,NO,NO
1.00485,1.00485,1.0043,1.0045,10,1.00454,9,0,0.0014895,0.001869,0.0002115,NO,NO
1.00455,1.00495,1.0044,1.00495,15,1.004705,14,5,0.0010065,0.000609,-0.0009045,SELL,NO
1.005,1.0053,1.00485,1.00485,48,1.005115,24,10,0.001254,0.000789,0.00036,SELL,NO
1.0046,1.0046,1.0039,1.00415,39,1.00422,30,15,0.0011145,0.000357,0.000117,SELL,NO
1.0041,1.0043,1.0039,1.0043,20,1.004105,15,20,5.25E-05,-0.001623,-0.001746,SELL,NO
1.00425,1.0049,1.00425,1.0048,46,1.004495,22,25,-0.0001365,-0.001485,-0.0012915,NO,NO
1.0048,1.0048,1.00445,1.00455,20,1.00465,14,30,0.0001485,-0.000252,0.0005895,NO,NO
1.0044,1.0044,1.0039,1.00425,58,1.00418,36,35,-0.0002205,-0.00072,0.000567,NO,NO
1.0043,1.005,1.00415,1.00475,42,1.004665,26,40,-0.0007155,-0.000972,-0.000423,NO,NO
1.00485,1.00515,1.0047,1.005,40,1.004865,26,45,-4.65E-05,0.000531,0.000936,BUY,NO
1.00495,1.0051,1.00475,1.00495,78,1.00487,30,50,0.000186,0.001017,0.001143,BUY,NO
1.0049,1.005,1.00455,1.005,43,1.004755,30,55,7.20E-05,0.001242,0.000864,NO,NO
