Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
0.007192,0.007192,0.007192,0.007192,0,0.007192,0,30,5.39E-06,1.08E-05,8.10E-06,NO,NO
0.007192,0.007192,0.007192,0.007192,0,0.007192,0,35,5.13E-06,1.08E-05,4.05E-06,NO,NO
0.007192,0.007192,0.007192,0.007192,0,0.007192,0,40,5.10E-06,1.08E-05,0,NO,NO
0.007192,0.007192,0.007192,0.007192,0,0.007192,0,45,5.40E-06,8.10E-06,0,NO,NO
0.007193,0.007193,0.007193,0.007193,1,0.007193,1,50,6.00E-06,6.60E-06,1.80E-06,NO,NO
0.0071915,0.0071915,0.0071915,0.0071915,1,0.0071915,1,55,5.70E-06,3.30E-06,7.81E-19,SELL,NO
0.0071945,0.007196,0.007194,0.007196,9,0.0071944,3,0,6.60E-06,2.40E-06,3.15E-06,NO,NO
0.0071995,0.0071995,0.0071995,0.0071995,7,0.0071995,2,5,9.99E-06,1.19E-05,1.52E-05,BUY,NO
0.007196,0.007196,0.007196,0.007196,1,0.007196,1,10,9.60E-06,1.38E-05,1.13E-05,NO,NO
0.0071965,0.0071965,0.0071965,0.0071965,1,0.0071965,1,15,6.45E-06,9.60E-06,3.24E-06,NO,NO
0.0071965,0.0071965,0.0071965,0.0071965,0,0.0071965,0,20,5.40E-06,1.05E-05,-3.60E-07,NO,NO
0.0071935,0.0071935,0.0071935,0.0071935,1,0.0071935,1,25,3.60E-06,5.46E-06,-7.65E-06,NO,NO
0.0071935,0.0071935,0.0071935,0.0071935,0,0.0071935,0,30,1.80E-06,-2.64E-06,-7.65E-06,SELL,NO
0.0071935,0.0071935,0.0071935,0.0071935,0,0.0071935,0,35,1.50E-06,-4.44E-06,-5.40E-06,SELL,NO
0.0071935,0.0071935,0.0071935,0.0071935,0,0.0071935,0,40,1.65E-06,-7.44E-06,-2.70E-06,NO,NO
0.007196,0.0071975,0.007196,0.0071975,3,0.007197,2,45,2.43E-06,-5.70E-06,4.50E-06,NO,NO
0.007199,0.007199,0.007199,0.007199,1,0.007199,1,50,4.08E-06,5.70E-06,1.31E-05,BUY,NO
0.0071985,0.007199,0.007197,0.007199,21,0.0071976,6,55,4.08E-06,9.00E-06,1.08E-05,BUY,NO
0.007197,0.007197,0.007197,0.007197,1,0.007197,1,0,8.40E-07,7.32E-06,1.89E-06,NO,NO
0.007197,0.007197,0.007197,0.007197,0,0.007197,0,5,-1.50E-07,8.40E-06,-2.34E-06,NO,NO
0.007197,0.007197,0.007197,0.007197,0,0.007197,0,10,1.65E-06,6.30E-06,-2.34E-06,NO,NO
0.0071935,0.0071935,0.0071935,0.0071935,1,0.0071935,1,15,3.00E-07,-1.20E-06,-6.84E-06,SELL,NO
0.0071935,0.0071935,0.0071935,0.0071935,0,0.0071935,0,20,-9.00E-07,-7.86E-06,-9.45E-06,SELL,NO
0.0071935,0.0071935,0.0071935,0.0071935,0,0.0071935,0,25,0,-9.96E-06,-6.30E-06,NO,NO
0.007193,0.007193,0.007191,0.0071925,4,0.00719185,3,30,-1.35E-06,-1.06E-05,-4.05E-06,NO,NO
0.007194,0.0071955,0.007194,0.0071945,85,0.00719485,8,35,-3.39E-06,-1.01E-05,-5.85E-07,NO,NO
0.007194,0.007194,0.0071935,0.0071935,2,0.00719375,2,40,-2.82E-06,-4.08E-06,3.60E-06,NO,NO
0.0071935,0.0071935,0.0071935,0.0071935,0,0.0071935,0,45,-4.83E-06,-3.90E-06,4.95E-07,BUY,NO
0.0071935,0.0071935,0.0071935,0.0071935,0,0.0071935,0,50,-4.98E-06,-2.10E-06,4.50E-08,BUY,NO
0.0071935,0.0071935,0.0071935,0.0071935,0,0.0071935,0,55,-4.38E-06,9.90E-07,-1.44E-06,NO,NO
0.0071935,0.0071935,0.0071935,0.0071935,0,0.0071935,0,0,-3.15E-06,1.80E-07,-2.25E-07,NO,NO
0.0071935,0.0071935,0.0071935,0.0071935,0,0.0071935,0,5,-2.10E-06,3.00E-08,0,NO,NO
0.0071935,0.0071935,0.0071935,0.0071935,0,0.0071935,0,10,-1.05E-06,3.00E-08,0,NO,NO
0.0071895,0.0071895,0.0071895,0.0071895,1,0.0071895,1,15,-1.91E-06,-5.76E-06,-7.20E-06,SELL,NO
0.007188,0.007188,0.007188,0.007188,1,0.007188,1,20,-5.61E-06,-1.16E-05,-1.35E-05,SELL,NO
0.0071875,0.0071875,0.007187,0.007187,11,0.00718705,3,25,-6.89E-06,-1.38E-05,-1.22E-05,NO,NO
0.007185,0.007185,0.0071845,0.0071845,6,0.0071849,2,30,-8.96E-06,-1.79E-05,-1.26E-05,NO,NO
0.0071845,0.0071845,0.0071845,0.0071845,0,0.0071845,0,35,-1.10E-05,-2.11E-05,-9.59E-06,NO,NO
0.0071855,0.0071855,0.0071855,0.0071855,2,0.0071855,1,40,-1.03E-05,-1.80E-05,-4.01E-06,NO,NO
0.007185,0.007185,0.007185,0.007185,1,0.007185,1,45,-9.90E-06,-1.41E-05,-8.55E-07,NO,NO
0.007185,0.007185,0.007185,0.007185,0,0.007185,0,50,-1.02E-05,-1.08E-05,9.00E-08,NO,NO
0.007188,0.0071885,0.007188,0.0071885,11,0.00718835,2,55,-8.40E-06,-2.07E-06,5.40E-06,BUY,NO
0.0071885,0.0071885,0.0071885,0.0071885,0,0.0071885,0,0,-4.89E-06,5.55E-06,8.87E-06,BUY,NO
0.0071885,0.0071885,0.0071885,0.0071885,0,0.0071885,0,5,-3.15E-06,7.23E-06,6.44E-06,NO,NO
0.0071885,0.0071885,0.0071885,0.0071885,0,0.0071885,0,10,-1.22E-06,8.46E-06,3.29E-06,NO,NO
0.0071885,0.0071885,0.0071885,0.0071885,0,0.0071885,0,15,1.37E-06,8.40E-06,1.35E-07,NO,NO
0.0071885,0.0071885,0.0071885,0.0071885,0,0.0071885,0,20,2.87E-06,6.09E-06,0,NO,NO
0.0071885,0.0071885,0.0071885,0.0071885,0,0.0071885,0,25,3.62E-06,4.29E-06,0,NO,NO
0.0071885,0.0071885,0.0071885,0.0071885,0,0.0071885,0,30,4.23E-06,2.19E-06,0,SELL,NO
0.0071885,0.0071885,0.0071885,0.0071885,0,0.0071885,0,35,4.20E-06,9.00E-08,0,SELL,NO
0.0071885,0.0071885,0.0071885,0.0071885,0,0.0071885,0,40,3.05E-06,0,0,NO,NO
0.007182,0.0071825,0.007182,0.0071825,4,0.0071821,2,45,-1.76E-06,-7.80E-06,-1.17E-05,SELL,NO
0.0071825,0.0071825,0.0071825,0.0071825,0,0.0071825,0,50,-6.35E-06,-1.49E-05,-1.66E-05,SELL,NO
0.0071825,0.0071825,0.0071825,0.0071825,4,0.0071825,1,55,-7.16E-06,-1.44E-05,-1.04E-05,NO,NO
0.007182,0.007182,0.007182,0.007182,3,0.007182,1,0,-7.50E-06,-1.50E-05,-5.94E-06,NO,NO
0.007182,0.007182,0.007182,0.007182,0,0.007182,0,5,-7.80E-06,-1.56E-05,-9.90E-07,NO,NO
0.007182,0.007182,0.007182,0.007182,2,0.007182,1,10,-7.80E-06,-1.18E-05,-9.00E-07,NO,NO
0.007182,0.007182,0.007182,0.007182,0,0.007182,0,15,-7.80E-06,-8.16E-06,-4.50E-07,NO,NO
0.007182,0.007182,0.007182,0.007182,0,0.007182,0,20,-7.80E-06,-4.56E-06,0,BUY,NO
0.007182,0.007182,0.007182,0.007182,0,0.007182,0,25,-7.80E-06,-6.60E-07,0,BUY,NO
0.007182,0.007182,0.007182,0.007182,0,0.007182,0,30,-5.88E-06,-6.00E-07,0,BUY,NO
0.007182,0.007182,0.007182,0.007182,0,0.007182,0,35,-4.08E-06,-3.00E-07,0,BUY,NO
0.0071815,0.0071815,0.0071815,0.0071815,2,0.0071815,2,40,-2.58E-06,-6.00E-07,-9.00E-07,NO,NO
0.0071815,0.0071815,0.0071815,0.0071815,2,0.0071815,2,45,-9.30E-07,-1.20E-06,-1.35E-06,SELL,NO
0.007178,0.007178,0.0071695,0.00717,14,0.00717385,7,50,-3.00E-06,-5.40E-06,-7.20E-06,SELL,NO
0.007167,0.007167,0.0071645,0.007165,4,0.00716535,4,55,-1.40E-05,-2.78E-05,-3.34E-05,SELL,NO
0.007165,0.007169,0.007165,0.007167,10,0.0071664,5,0,-2.02E-05,-4.04E-05,-3.74E-05,NO,NO
0.007167,0.0071675,0.007167,0.0071675,4,0.0071671,3,5,-1.84E-05,-3.64E-05,-1.83E-05,NO,NO
0.0071655,0.0071655,0.0071645,0.0071645,10,0.007165,2,10,-1.88E-05,-3.71E-05,-6.75E-06,NO,NO
0.0071645,0.0071645,0.0071645,0.0071645,0,0.0071645,0,15,-2.07E-05,-3.59E-05,-4.37E-06,NO,NO
0.0071645,0.0071645,0.0071645,0.0071645,2,0.0071645,1,20,-2.10E-05,-2.65E-05,-4.50E-06,NO,NO
0.007165,0.0071665,0.007165,0.0071665,3,0.007166,3,25,-0.00002055,-1.69E-05,-1.89E-06,BUY,NO
0.0071655,0.007166,0.007165,0.0071655,8,0.0071655,5,30,-1.92E-05,-5.82E-06,2.70E-06,BUY,NO
0.007168,0.007168,0.007168,0.007168,2,0.007168,1,35,-1.56E-05,1.89E-06,5.85E-06,BUY,NO
0.007168,0.007168,0.0071675,0.007168,6,0.00716765,3,40,-9.06E-06,5.40E-06,7.20E-06,BUY,NO
0.007167,0.007167,0.007167,0.007167,2,0.007167,2,45,-5.34E-06,4.92E-06,1.94E-06,NO,NO
0.007166,0.007166,0.007166,0.007166,2,0.007166,2,50,-2.01E-06,3.60E-06,-1.94E-06,NO,NO
0.007162,0.007162,0.007159,0.007159,6,0.00716085,4,55,-2.36E-06,-2.70E-06,-1.14E-05,SELL,NO
0.007155,0.0071565,0.0071545,0.0071565,9,0.0071558,4,0,-9.39E-06,-1.94E-05,-0.00002682,SELL,NO
0.0071565,0.0071565,0.007156,0.0071565,3,0.00715635,3,5,-0.00001095,-2.55E-05,-2.25E-05,NO,NO
0.0071585,0.007159,0.0071565,0.0071565,10,0.0071582,3,10,-9.09E-06,-2.31E-05,-8.37E-06,NO,NO
0.007155,0.0071565,0.007155,0.0071565,4,0.00715575,2,15,-1.02E-05,-2.54E-05,-4.32E-06,NO,NO
0.007157,0.007159,0.007157,0.007159,4,0.007158,2,20,-1.16E-05,-2.16E-05,-5.40E-07,NO,NO
0.007159,0.007159,0.007159,0.007159,0,0.007159,0,25,-9.95E-06,-9.39E-06,5.13E-06,BUY,NO
0.007152,0.0071535,0.007152,0.0071535,3,0.007153,3,30,-1.38E-05,-1.02E-05,-8.06E-06,BUY,NO
0.00715,0.007154,0.0071495,0.007154,8,0.00715035,4,35,-0.000018795,-1.51E-05,-1.78E-05,NO,NO
0.007151,0.007151,0.007151,0.007151,1,0.007151,1,40,-1.76E-05,-1.40E-05,-1.59E-05,NO,NO
0.0071515,0.0071515,0.007151,0.007151,10,0.0071513,2,45,-1.34E-05,-1.40E-05,-7.52E-06,NO,NO
0.0071515,0.0071515,0.0071515,0.0071515,6,0.0071515,1,50,-1.00E-05,-1.52E-05,-4.50E-08,NO,NO
0.007157,0.007157,0.0071545,0.0071545,11,0.00715625,4,55,-4.26E-06,-5.25E-06,0.000011565,NO,NO
0.007153,0.007153,0.007145,0.007145,10,0.00714835,7,0,-2.28E-06,-1.11E-06,7.61E-06,BUY,NO
0.007145,0.007145,0.007145,0.007145,0,0.007145,0,5,-0.00001248,-1.60E-05,-1.86E-05,SELL,NO
0.007141,0.007141,0.007137,0.007138,47,0.00713865,13,10,-1.77E-05,-2.02E-05,-2.62E-05,SELL,NO
0.0071365,0.0071365,0.0071335,0.0071335,32,0.00713515,6,15,-2.26E-05,-3.23E-05,-3.42E-05,SELL,NO
0.007136,0.007136,0.007131,0.007131,55,0.00713225,15,20,-2.34E-05,-4.07E-05,-2.24E-05,NO,NO
0.0071315,0.0071325,0.007127,0.007127,50,0.00712915,12,25,-2.58E-05,-4.79E-05,-2.12E-05,NO,NO
0.0071285,0.0071285,0.007125,0.007125,14,0.0071272,8,30,-2.71E-05,-5.15E-05,-1.79E-05,NO,NO
